Designator,Mid X,Mid Y,Rotation,Layer
C1,131.3,-107.7,0.0,top
C10,100.625,-82.1,0.0,top
C11,97.7,-68.2,180.0,top
C12,130.0,-69.8,180.0,top
C13,130.0,-72.2,180.0,top
C18,118.125,-103.6,0.0,top
C2,131.125,-89.3,0.0,top
C21,100.725,-108.6,180.0,top
C22,100.725,-106.6,180.0,top
C23,104.8,-99.5,90.0,top
C25,98.425,-94.2,180.0,top
C26,98.425,-96.4,180.0,top
C27,98.425,-98.6,180.0,top
C3,131.125,-91.8,0.0,top
C4,131.125,-94.4,0.0,top
C5,134.625,-100.2,0.0,top
C6,137.025,-100.225,270.0,top
C7,130.8,-101.9,270.0,top
C8,97.0,-64.7,270.0,top
C9,94.5,-65.9,270.0,top
D1,125.6,-96.6,270.0,top
D2,96.6,-72.9,0.0,top
D4,113.6,-101.65,180.0,top
H1,137.4,-64.7,0.0,top
H2,93.4,-108.4,0.0,top
H3,70.875,-81.975,0.0,top
H4,70.875,-87.925,0.0,top
J1,138.2,-74.3,0.0,top
J5,113.98,-107.62,0.0,top
L1,95.5,-102.3,90.0,top
L2,125.4,-105.1,90.0,top
Q2,125.1,-68.7375,270.0,top
Q3,129.95,-65.075,180.0,top
Q4,125.04,-80.3375,270.0,top
Q5,129.99,-77.175,180.0,top
R1,137.125,-95.4,270.0,top
R10,93.9,-81.3,0.0,top
R11,107.2,-108.9,270.0,top
R13,121.85,-70.675,180.0,top
R14,104.2,-105.1,0.0,top
R15,103.2,-94.625,270.0,top
R16,103.9,-97.1,0.0,top
R17,122.45,-66.875,0.0,top
R18,122.59,-78.475,0.0,top
R19,121.69,-81.975,180.0,top
R2,99.1,-71.5,270.0,top
R3,138.425,-97.8,0.0,top
R6,134.425,-94.9,90.0,top
R7,135.325,-97.7,0.0,top
R9,120.4,-108.8,270.0,top
SW1,101.9,-79.2,180.0,top
SW3,101.8,-87.2,180.0,top
U1,109.85,-68.8,0.0,top
U2,131.425,-98.25,0.0,top
U5,100.825,-102.2,180.0,top
